Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-07-15,4149.41650390625,4219.880349315725,4137.323769322536,4215.60094806415,4848030
2024-07-16,4158.62255859375,4174.645771890999,4125.231468915622,4152.202970832721,2029521
2024-07-18,4295.07177734375,4304.477129851331,4140.260083278968,4140.260083278968,5613364
2024-07-19,4291.92919921875,4348.142158264686,4274.821034402924,4306.892693884416,3903354
2024-07-22,4276.916015625,4309.436774742194,4254.620311182983,4289.485448546729,1896386
2024-07-23,4291.8798828125,4351.085545855259,4255.9173219678205,4272.576875624275,2365208
2024-07-24,4295.77001953125,4328.540170974012,4257.712961363163,4277.065650795991,1809793
2024-07-25,4311.98046875,4332.43057854974,4263.798209766324,4284.547394628398,2810342
2024-07-26,4377.17138671875,4411.687278116113,4326.49472642479,4339.413404846502,3552210
2024-07-29,4370.43798828125,4420.216451213726,4360.362470831686,4404.255389778516,1746803
2024-07-30,4354.7265625,4387.2970078981125,4316.768868891213,4380.413897186989,1797906
2024-07-31,4374.677734375,4403.257913171262,4334.42583432921,4339.413666129359,2330091
2024-08-01,4386.39892578125,4408.544605641128,4354.426633241438,4388.693133460564,2202244
2024-08-02,4272.62646484375,4387.296914413033,4259.608418495601,4354.37722405932,2811282
2024-08-05,4144.93798828125,4228.683880636584,4100.496600933399,4228.683880636584,2787771
2024-08-06,4161.048828125,4247.886781429299,4150.673748724392,4160.799436545041,2203067
2024-08-07,4190.2275390625,4234.6192391941595,4170.126188542033,4217.710295655158,1237666
2024-08-08,4162.39501953125,4221.700530181097,4149.875757455899,4170.824649500748,2441283
2024-08-09,4218.45849609375,4243.297799574423,4195.314763069322,4206.737092054944,1302536
2024-08-12,4185.43896484375,4228.683561529211,4176.161793056191,4219.705464795604,936912
2024-08-13,4186.736328125,4223.695966914219,4172.820082570189,4202.747073360794,1495593
2024-08-14,4284.796875,4295.720421395586,4177.957421243013,4198.756777108434,3226545
2024-08-16,4405.302734375,4416.226280866911,4314.57436608303,4339.413671057389,3457058
2024-08-19,4479.07275390625,4483.31241074458,4379.665368044934,4410.240678178069,2055210
2024-08-20,4512.29150390625,4553.890213950814,4489.048403675501,4494.03623523514,2212298
2024-08-21,4540.42333984375,4548.902654001428,4481.616607407142,4507.004866398784,1896990
2024-08-22,4491.04345703125,4549.850184918615,4486.255333655678,4548.902302101844,1829872
2024-08-23,4453.0361328125,4495.033771684238,4444.15789011391,4489.048373852434,1809253
2024-08-26,4491.49267578125,4541.071429667686,4474.084948646668,4478.075213929742,1844164
2024-08-27,4486.20556640625,4499.024391859297,4475.880656913214,4494.036559939276,930697
2024-08-28,4495.08349609375,4551.396309377908,4446.45213826752,4487.801456835916,1848058
2024-08-29,4500.81982421875,4544.9124533044105,4449.1460802760475,4449.1460802760475,2133641
2024-08-30,4542.66796875,4581.074274936522,4476.878270198498,4489.048775048037,3637222
2024-09-02,4510.046875,4576.834132870222,4501.01909492381,4564.863337405,1216500
2024-09-03,4501.36865234375,4544.812472391717,4484.958490919644,4510.047187401431,1717263
2024-09-04,4468.34912109375,4476.080260389051,4425.902867283827,4466.0549133013565,1265505
